"0","","","","","P","ぼくの考えた最強のnintendo switch 2","",""
"1","","","","","A","現在のnintendo switchの状況から改善点を検討し、ぼくの考えた最強のnintendo switch 2を考えてみる。","",""
"2","#1#","2018-05-31T10:01:15.780","","","P","雑談はここで","",""
"3","#1#","2018-05-31T10:01:35.465","","","P","現行機のスペックを確認する","",""
