"0","","","","","P","このサイトについて","",""
"1","","","2018-05-16T17:46:11.591","","P","このサイトについて","",""
"2","#1#","2018-05-28T12:01:16.689","","","P","トップページにも書いた内容になりますが、、、		PDCAちゃんねるは色んな事に対してPDCA形式でフィクション（虚構）を連ねる掲示板です。	フィクションを真に受ける人、信じて疑わない人はこのサイトを利用しないでください。	PDCAチャンネルのコンテンツは全てフィクションです。","",""
"3","#1#","2018-05-28T12:01:39.642","","","P","中年オヤジのかさぴーが、プログラミングの勉強を兼ねてコツコツ作っています。","",""
"4","#1#","2018-05-28T12:17:35.581","","","P","元々は、当サイトは改善したい事柄として投稿されたコメントに対して、ユーザー同士でアイディアをPDCA形式で出し合い、誰が読んでも「これは改悪ではなくて改善だね」と評価されるような改善案を作り上げるサイトととして企画をしました。		気になった点としては、普通のユーザーが善意で投稿した内容が、実は間違っていた、改善ではなく改悪だったといった可能性があり、また、利用者が疑わずに信じて投稿内容に従い行動し、結果を全て当サイトや投稿者に押し付けるような可能性があることでした。	しかし、そもそもここは酷いインターネッツで(ry		とりあえず、人やインターネッツを疑うことを知らないようなピュアで善意の利用者が傷つくのは不本意だ、どうにかしてこのサイトの情報を鵜呑みにしないようにできないものか、ということで考えたのが、「フィクション」という切り口でした。		そもそもPDCAとは、事実、あるいは、何か改善したい等の事柄を軸として、改善案、あるいは、改悪案というフィクションを展開していくと考えるなら、フィクションという切り口は、このサイトのコンテンツの特性を説明し、さらにはフィクションであれば虚構、嘘の話ということにもなり、「このサイトのコンテンツは全てフィクションです。」と断りを入れれば嘘の話に対して鵜呑みにするような人もいないはずだ、という点で、理にかなった説明でした。		なので、いろんなところに		PDCAちゃんねるは色んな事に対してPDCA形式でフィクション（虚構）を連ねる掲示板です。	フィクションを真に受ける人、信じて疑わない人はこのサイトを利用しないでください。	このサイトのコンテンツは全てフィクションです。		と書いています。","",""
