"0","","","","","P","【朝日】Ｇ２０が閉幕　麻生氏「内向きな流れ、よろしくない」","",""
"1","","","","","D","【朝日】Ｇ２０が閉幕　麻生氏「内向きな流れ、よろしくない」	https://www.asahi.com/articles/ASL4P23SBL4PUHBI008.html","",""
"2","#1#","2018-06-15T14:25:02.372","","","D","テスト","",""
